gkz,values,name,classIndices,friendlyUrl,type,selected,geometry,count_osm
09184118,[ 12.6 ],Feldkirchen (M),[ 6 ],feldkirchen-m,GEMEINDE,,"MULTIPOLYGON (((11.758 48.1486, 11.7477 48.1375, 11.7228 48.1369, 11.7083 48.148, 11.7353 48.1564, 11.758 48.1486)))",1.0
06534010,[ 9.1999999999999993 ],Gladenbach,[ 4 ],gladenbach,GEMEINDE,,"MULTIPOLYGON (((8.6486 50.7627, 8.618 50.7601, 8.5882 50.7352, 8.547 50.7369, 8.5104 50.7372, 8.5248 50.7612, 8.5097 50.7673, 8.5112 50.7989, 8.6302 50.8271, 8.6419 50.8133, 8.6486 50.7627)))",4.0
08437078,[ 9.8000000000000007 ],Meßkirch,[ 5 ],messkirch,GEMEINDE,,"MULTIPOLYGON (((9.1927 47.9793, 9.1903 47.9539, 9.1415 47.9777, 9.1395 47.9597, 9.1004 47.9762, 9.0592 47.9652, 9.0464 47.9863, 9.0639 48.0215, 9.0451 48.0322, 9.0916 48.0553, 9.1211 48.0586, 9.108 48.0377, 9.1321 48.0213, 9.1824 48.0328, 9.1927 47.9793)))",2.0
06439014,[ 8.5 ],Schlangenbad,[ 4 ],schlangenbad,GEMEINDE,,"MULTIPOLYGON (((8.0046 50.0655, 7.9885 50.0723, 8.0119 50.0799, 7.9699 50.0874, 7.9559 50.1131, 8.0275 50.0951, 8.1022 50.1326, 8.1212 50.1113, 8.1028 50.1047, 8.1123 50.0936, 8.1378 50.0875, 8.1111 50.0781, 8.076 50.095, 8.0596 50.0876, 8.0457 50.0812, 8.0046 50.0655)))",1.0
06531016,[ 10.699999999999999 ],Reiskirchen,[ 5 ],reiskirchen,GEMEINDE,,"MULTIPOLYGON (((8.9072 50.5496, 8.8238 50.5577, 8.8042 50.5725, 8.8168 50.6065, 8.8607 50.6316, 8.868 50.6318, 8.907 50.5921, 8.8499 50.581, 8.9248 50.5616, 8.9072 50.5496)))",2.0
01060092,[ 8.3000000000000007 ],Wahlstedt,[ 4 ],wahlstedt,GEMEINDE,,"MULTIPOLYGON (((10.1876 53.9351, 10.1862 53.9495, 10.1513 53.9639, 10.167 53.9691, 10.2033 53.974, 10.238 53.9616, 10.2383 53.944, 10.219 53.9376, 10.1876 53.9351)))",2.0
09472190,[ 8.0 ],Speichersdorf,[ 4 ],speichersdorf,GEMEINDE,,"MULTIPOLYGON (((11.7351 49.8359, 11.7095 49.8452, 11.7312 49.8509, 11.7203 49.8673, 11.723 49.875, 11.753 49.9003, 11.7872 49.8894, 11.8226 49.9026, 11.8526 49.8879, 11.8392 49.8785, 11.8549 49.8472, 11.7892 49.8365, 11.768 49.8408, 11.7351 49.8359)))",1.0
08326075,[ 9.5999999999999996 ],Brigachtal,[ 5 ],brigachtal,GEMEINDE,,"MULTIPOLYGON (((8.5213 47.9987, 8.5058 47.9867, 8.4397 47.9885, 8.4167 48.0226, 8.5074 48.0222, 8.5213 47.9987)))",1.0
05766032,[ 8.5999999999999996 ],Horn-Bad Meinberg,[ 4 ],horn-bad-meinberg,GEMEINDE,,"MULTIPOLYGON (((9.0922 51.8895, 9.051 51.8717, 9.0128 51.8777, 9.0162 51.8596, 8.9963 51.8443, 8.953 51.8362, 8.9595 51.7898, 8.9184 51.8029, 8.9284 51.8079, 8.9165 51.8133, 8.9131 51.8492, 8.8836 51.8485, 8.877 51.8623, 8.8936 51.893, 8.9505 51.8951, 8.985 51.9259, 9.0062 51.9247, 9.0179 51.8984, 9.0877 51.9105, 9.0922 51.8895)))",3.0
08136010,[ 8.8000000000000007 ],Bopfingen,[ 4 ],bopfingen,GEMEINDE,,"MULTIPOLYGON (((10.3858 48.8972, 10.3593 48.8815, 10.3791 48.854, 10.4143 48.8595, 10.4291 48.8455, 10.4264 48.837, 10.387 48.82, 10.2674 48.8234, 10.2681 48.8401, 10.3266 48.8754, 10.2941 48.9041, 10.2872 48.9168, 10.3417 48.9098, 10.3525 48.921, 10.3883 48.9099, 10.3858 48.8972)))",2.0
08236074,[ 9.0 ],Kämpfelbach,[ 4 ],kaempfelbach,GEMEINDE,,"MULTIPOLYGON (((8.6487 48.9459, 8.6611 48.9368, 8.6478 48.9201, 8.6276 48.9099, 8.6124 48.9184, 8.6001 48.9461, 8.6191 48.9568, 8.6487 48.9459)))",1.0
05554052,[ 11.6 ],Schöppingen,[ 6 ],schoeppingen,GEMEINDE,,"MULTIPOLYGON (((7.2509 52.1193, 7.2685 52.0987, 7.2675 52.0581, 7.244 52.0427, 7.1815 52.0473, 7.1027 52.0893, 7.1736 52.1287, 7.2509 52.1193)))",1.0
14627010,[ 6.9000000000000004 ],Coswig (MEI),[ 3 ],coswig-mei,GEMEINDE,,"MULTIPOLYGON (((13.6382 51.1431, 13.601 51.1305, 13.5854 51.1172, 13.5916 51.1048, 13.5001 51.1403, 13.5411 51.1526, 13.6007 51.1431, 13.626 51.1591, 13.6552 51.1606, 13.6382 51.1431)))",4.0
05754008,[ 10.5 ],Gütersloh (GT),[ 5 ],guetersloh-gt,GEMEINDE,1,"MULTIPOLYGON (((8.4487 51.8763, 8.3971 51.857, 8.3642 51.8637, 8.3576 51.8798, 8.3298 51.8756, 8.3303 51.8945, 8.3147 51.8957, 8.3114 51.9126, 8.285 51.9228, 8.2979 51.9309, 8.3335 51.9386, 8.3137 51.9677, 8.3806 51.9751, 8.427 51.9447, 8.4868 51.9453, 8.5059 51.9149, 8.4563 51.9053, 8.4487 51.8763)))",22.0
